商品名,企業名,価格,評価,評価数,サクラ評価,商品説明
Canon コンパクトデジタルカメラ IXY 650 シルバー 光学12倍ズーム/Wi-Fi対応 IXY650SL-A,キヤノン,"44,300",,65,4.19,"
【Amazonベーシック商品に使えるクーポン付き】本商品購入後にメールでご案内します。
"
Bofypoo デジタルカメラ デジカメ Micro SDカード付属 長いストラップ付き 4400万画素 HD1080P録画 16倍ズーム 2.4インチIPSスクリーン ビデオ録画 ウェブカメラ 多機能カメラ 使いやすい 軽量 小型 (ライトグリーン),Bofypoo,"4,959",4.3,182,1.56,"
【4400万画素&HD1080P録画】このデジタルカメラは最大4400万ピクセルで、44MPの画像解像度と1080pのビデオ解像度をサポートし、優れた録画と撮影性能を発揮します。このカメラ コンパクトは 16 倍デジタル ズームをサポートし、W/T ボタンを使用して画像をズームインまたはズームアウトできます。 2.4インチのディスプレイ画面により、写真を簡単に表示でき、どこでも写真やビデオの撮影を楽しむことができます。 (使用する前には付属しているTFカード（Micro SDカード）をフォーマットする必要があることをご注意ください。また、本製品は最大32GBまでのMicro SDカードを対応しかできません。）
【16倍ズーム&2.4インチIPSスクリーン】このコンパクトカメラには16倍デジタルズームと内蔵フラッシュライトが装備されており、W/T ボタンを使用して撮影した画像をズームインする機能があり、遠くの物体を簡単に見ることができます。この vlogカメラは 2.4インチ IPS LCD スクリーンを採用しています。クリアで高画質の写真/ビデオを撮影できます。 2 つの充電式バッテリーが付属しています。箱から出してすぐに使えます。
【ビデオ録画とウェブカメラ】このデジタルカメラはウェブカメラとして使用できます。ビデオモードと内蔵マイクを搭載しているため、よりスムーズで安定したビデオを録画できます。ミニデジタルカメラはウェブカメラとしても使用でき、USB ケーブルを介してコンピューターに接続すると、ビデオ通話やライブ ストリーミングを行うことができます。また、シーンのニーズに応じて内蔵のフラッシュ ライトを開くこともでき、暗い場所でも優れたパフォーマンスを発揮します。
【多機能カメラ&使いやすい】デジタルキッズビデオカメラには多機能があり、16倍ズーム、一時停止機能、手ぶれ防止、タイムラプス、スローモーション、連続撮影、モーション検出、顔検出、セルフタイマー、アンチシェイク、スマイルキャプチャなど。この小さなカメラは、すべてのニーズを満たし、使用と制御が非常に簡単です。
【持ち運びに便利&パッケージ内容】軽量設計と小型サイズにより、ビデオカメラは持ち運びに便利で、いつでもどこでも幸せな瞬間を捉えることができます。このポケットカメラは、旅行や日常の使用に最適で、誕生日、クリスマス、感謝祭の日にも非常に人気があり、10代、子供、学生、男の子、女の子にぴったりー、あなたとご家族の美しいクリスマスの瞬間を記録します。パッケージ内容: デジタルカメラ×1、Micro SDカード×1、充電式リチウムイオンバッテリー×2、USBケーブル×1、ユーザーマニュアル×1、カメラバッグ×1、白いストラップ×1、ストラップ×1。
"
Nikon デジタルカメラ COOLPIX A100 光学5倍 2005万画素 シルバー A100SL,Nikon,"6,699",2.9,"1,017",3.89,"
誰でもカンタン高画質、有効画素数2005万画素
薄さ約19.8 mm、毎日持ち歩けるスタイリッシュスリム
かわいく変身できる12 種類のメイクアップ効果
光学5倍ズーム&ダイナミックファインズーム10倍
すぐに撮影をスタートできる「HD動画撮影」
パソコンからの電源供給で充電できる「USB対応」
被写体を自動予測してピント調整「ぴったりAF[ターゲットファインドAF]」
表示件数を増やす"
Canon コンパクトデジタルカメラ IXY 650 ブラック 光学12倍ズーム/Wi-Fi対応 IXY650BK-A,キヤノン,"44,698",,54,4.19,"
【Amazonベーシック商品に使えるクーポン付き】本商品購入後にメールでご案内します。
"
ペンタックス PENTAX WG-1000 オリーブ 本格防水デジタルカメラ 15m防水 (連続1時間) 2m耐衝撃 防塵仕様 2162,ペンタックス,"31,400",& 配送料無料,8,4.49,"
防水・耐衝撃設計 水深15mで1時間の水中撮影が可能なIPX8防水性能と、2mからの落下にも耐える耐衝撃性能、さらにIP6X防塵性能を備えています。また、次亜塩素酸ナトリウム、二酸化塩素水などの消毒に耐える耐薬品性も兼ね備えており業務用途でも使用できます。
高画質な画像 裏面照射型CMOSイメージセンサーを採用し、最高ISO 3200の高感度と約1635万画素の高精細画像を実現しています。
広角27mmから光学4倍ズームレンズ 焦点距離27mm相当の広角から108mm相当までの光学4倍ズームレンズを搭載。デジタルズームと併用で最大約24倍のズーム撮影が可能です。
7種類の撮影モード 自動モード、マニュアルモード、水中モード、シーンモードなど、用途に合わせて7種類の撮影モードから選択できます。
多彩な写真表現「色彩」 白黒、セピア、日本スタイル、イタリアスタイル、フランススタイル、ネガ、スケッチなど、20種類の色調や特殊効果を写真に加えられます。"
Lecnippy デジカメ 4K デジタルカメラ 32GBマイクロSDカード付き オートフォーカス機能 180度回転可能ディスプレイ 4800万画素 16倍ズーム 手振れ補正 Webカメラ 自撮りカメラ 3インチ大画面 美顔フィルター 52mmUVフィルター付属 バッテリー2枚 子どもの日 新年 クリスマス 初心者向け バッテリー充電器付き,Lecnippy,"10,980",4.4,104,1.83,"
【高性能4Kデジタルカメラ＆4800万画素＆800万CMOSセンサー】初心者の方でも撮影を楽しめる4Kカメラです。動画解像度は4K UHDと呼ばれる3840×2160で、静止画も4800万画素と、かつてない鮮明さを実現しました。800万画素のCMOSイメージセンサーを搭載しており、手頃な価格で鮮やかな映像を撮影できます。オートフォーカス機能が搭載されており、美しく鮮明な写真を簡単に撮影することができます。手ぶれ補正機能が搭載されており、強力なアルゴリズムが被写体を鮮明に認識し、画面の安定性を維持することで、フォーカスのずれやフォーカスエリアの重なりを防ぐことができます。また、顔認識、ビューティーフィルター、三連写などの多彩な機能を搭載しており、夜景や子供の笑顔も撮影できます。LEDライトも付属しているので、夜間や暗い部屋での撮影も簡単に行うことができます。
【16倍デジタルズーム＆52mmUVレンズ&180度回転可能ディスプレイ】16倍デジタルズームにより、遠くの被写体を完璧に撮影できるのも特徴の一つです。ズーム機能が付いているので、撮影した映像の中の遠くに写っているものを簡単に確認することができます。当社のデジタルカメラには、夏場に遠くのものを撮影する際の曇りを軽減するために、紫外線をカットするUVレンズが搭載されています。本体に搭載されているレンズのスペックはF値「F/3.2」、焦点距離「7.36mm」です。180度回転可能ディスプレイで自撮りには便利です。本体重量はわずか258gと非常に軽量で、女性や学生でも長時間使用できる、コストパフォーマンスの高いデジタルカメラです。家族写真、運動会、忘年会、卒業式、旅行、イベントなど、さまざまな場面でお使いいただけます。
【ウェブカメラ機能&HDMI出力&一時停止】3.0インチIPS液晶モニターを採用しており、大画面で被写体をはっきり確認できます。さらに、付属のUSBケーブルでパソコンに接続すれば、高画質ビデオ通話や生放送を行うウェブカメラとしてもお使いいただけます。本製品には、顔認識技術を利用したオートフォーカス機能やビデオ通話の品質を向上させる手動手振れ補正機能が搭載されています。これらの機能を活用することで、Facebook、YouTube、Instagramなどのプラットフォームを介した高画質なビデオ通話を簡単に楽しむことができます。テレビで動画を再生したい場合は、HDMIケーブルでテレビに接続できます。
【2つの予備バッテリー＆32GBMicroSDカード付き】こちらのデジタルカメラには大容量バッテリーが2つ付属しています。外出先でもバッテリーの残量を気にする必要がなく、長時間撮影が可能です。バッテリー充電器もついていますので、使用が便利になります。さまざまな充電方法があり、屋外での充電も可能です。運動会、発表会、セミナー、コンサートで遠くの被写体を撮影する時など、長時間の撮影に最適です。また、本製品には32GBMicroSDカードも付属しておりますので、到着次第にすぐに使えます。本製品は最大128GBのMicroSDカードに対応していますことをご注意ください。プロ仕様のカメラケースとハンドストラップも付属しているので、屋外での撮影にも最適です。
【セット内容】1×デジタルカメラ、1×UVレンズ、1×32GBMicroSDカード、1×USBケーブル、1×HDMI出力ケーブル、1×日本語取扱説明書、1×USB充電器、1×バッテリー充電器、2×バッテリー、1×カメラケース、1×レンズキャップ、1×ストラップ。また、ご購入日より1年間製品の部品・構造に欠陥がある場合は、いつでもお気軽にお問い合わせください。お問い合わせは「アカウントサービス」→「注文履歴」→「出品者」→「問題」をご参照ください。
"
AiTechny デジタルカメラ デジカメ 4400万画素 1080ｐ動画 16倍ズーム 2.4インチIPSスクリーン ビデオ録画 ウェブカメラ 多機能カメラ ストラップ付き 使いやすい 軽量 小型 子供の日 プレゼント (グリーン+32ｇメモリカード),ブランド: AiTechny,"6,999",4.4,166,1.75,"
【高解像度イメージング＆簡単操作】AiTechnyデジタルカメラは、高解像度CMOSセンサーとIPSカラースクリーンを搭載しています。 4400万画素な写真を撮影し、滑らかな1080pビデオで録画する機能により、思い出が生き生きと蘇ります。 子供、青少年、初心者向けに設計されたこのオートフォーカス デジタル カメラには、複雑なセットアップは必要ありません。ただの半押ししてフォーカスができます。 お子様の写真への興味を育み、家族や友人との楽しい瞬間を作り上げるのに最適です。
【実用的で楽しい】このデジタルカメラは、写真を簡単に楽しんでいただけます。 16倍デジタル ズームにより、望み通りの細部まで捉えることができます。フィルライトを使用すると、ショットが明るく鮮明になります。 20種類のユニークなフィルターを使って創造力を発揮し、手ぶれ補正やセルフタイマーなどの楽しい機能を探索してください。 内蔵マイクにより鮮明な FHD 1080p ビデオを録画し、ウェブカメラとしても機能します。 日常の瞬間を記録したり、旅行で自撮り写真を撮ったり、ビデオブログを作成したりする場合でも、このカメラが役に立ちます。
【充電式＆ポータブル】充電のためにバッテリーを取り外す必要はありません。 付属のUSB-C充電ケーブルを使用するだけで、いつでもどこでもコンパクトデジタルカメラを充電できます。 長持ちする大容量バッテリーを搭載したこの小型デジタルカメラは、電池切れを気にせずに一日中撮影できます。 ポケットサイズの軽量設計なので、旅行や毎日の冒険にいつでもお供になれます。（700ｍAのバッテリーは2個付属しています）
【画像転送＆32GBカード】デジタルカメラからパソコンやスマートフォンに画像を簡単に転送します。 この写真用カメラには32GBカードが付属しており、貴重な思い出を保存するのに十分なストレージを確保しています。 付属のUSB-C ケーブルを使用して、写真やビデオをコンピュータにすばやくダウンロードします。 あるいは、カードリーダー (別売り) を利用して、写真やビデオをカメラのカードから携帯電話に転送し、ソーシャル メディアで簡単に共有することもできます。
【優れたサービスと完璧なギフト】12か月の手間のかからない約束 - 返金と交換が保証されています。 しかし、それだけではありません。ボックスに梱包されたこのビンテージ デジタル カメラは、特別な瞬間への贈り物に最適です。 お子様の初めてのキッズカメラでも、親友への心のこもったサプライズでも、素晴らしい選択です。クリスマスや感謝祭などの祝日、誕生日、卒業式、バレンタインデーのギフトにも最適です。
"
NEZINI 4K デジタルカメラ オートフォーカス デジカメ 4800万画素 Vlogカメラ 手振れ補正 光学ファインダー モードダイヤル 16倍ズーム LEDライト デジタル一眼レフ コンパクト ホットシュー 外部マイク/フラッシュ対応可 32GBカード付属 バッテリー2個付き 子供の日 新年 クリスマス (ライトブラウン),nezini,"11,980",4.2,342,1.67,"
【多機能4Kデジカメ&4800万画素&オートフォーカス】4K UHDと呼ばれる3840x2160の動画解像度を持ち、4800万画素と組み合わせ、今までのない鮮明画面を実現します。ヒントを自動的に合わせるオートフォーカス機能が備わっているので、美しくてクリアな写真を簡単に撮れます。また、スローモーション、セルフタイマー、連写などさまざまな機能が備わったので、表現力のある繊細な写真を撮影でき、美しい思い出の瞬間を記録することもできます。LEDライトまでも付いていて夜間の撮影や暗い室内の撮影も簡単になります。初心者にとって撮影の楽しさを深く感じらせる4Kデジタルカメラです。ご注意：撮った写真の画質を高めるため、撮影する前には写真解像度を最大の48MPに設定してください。オートフォーカス機能を正しく使用して、手ぶれ補正機能もオンにしてください。
【CMOSイメージセンサー&16倍デジタルズーム&手ぶれ補正】鮮明な映像を撮影可能なCMOSイメージセンサーを搭載されていて、画質を向上させて、写真でもビデオ（動画）でも、高精細で低ノイズな画像が得られます。16倍のデジタルズームで、離れた被写体をきれいに撮影できるのも特徴です。撮影した画像をズームインする機能があり、遠くの物体を簡単に見ることができます。手振れ補正がありますので、強力なアルゴリズムのサポートにより、被写体を明確的に識別し、画面の安定性を維持でき、焦点がずれたりぼやけたりするのを防ぎます。
【光学ファインダー&ホットシュー&ウェブカメラ機能】光学ファインダー付き、画面のスコープとレイアウトをより合理的に構図でき、プロみたい写真やビデオを撮影できます。ホットシュー入力端子も備わっていますので、外部マイクや補足灯を接続することができます。わざわざ別のホルダーを買う必要がありません。また、付属しているUSBケーブルで接続することにより、Webカメラとして利用することも可能です。Facebook/YouTube/Instagramでビデオ通話やライブ ストリーミングを行うことができます。テレビでビデオを再生したい場合は、HDMIケーブルでテレビに接続することもできます。ご注意：フラッシュ機能がオートフラッシュに設定すれば、撮影環境が明るいならフラッシュは機能しない可能性もございます。
【32GBのMicroSDカード付属&二つバッテリー予備】本デジタルカメラには、大容量バッテリーが2個付属します。外出先でもバッテリー残量を気にせず長時間の撮影ができます。さまざまな充電方式を備えており、屋外で充電しながら使うこともできます。運動会や発表会、セミナー、コンサートなど長時間撮るなど場合にはピッタリです。また、32GBのMicroSDカードも付属していますので、箱から出してすぐに使えます。 使用する前はTFカード(MicroSDカード）をフォーマットする必要があることをご注意ください。最大128GB MicroSDカードまで対応できます。そして、プロ仕様のカメラポーチとハンドストラップが付属しているので、野外で撮影したいときにもぴったりです。ご注意：充電するときは、付属している充電器と充電アダプターで充電してください。別の充電器と充電アダプターで充電すれば互換性がない可能性があり、充電がうまくできない可能性もございます。
【持ち運びに便利&パッケージ内容】本体がわずか147gで、軽量かつ小型サイズにより、持ち運びに便利でいつでもどこでも幸せな瞬間を捉えることができます。旅行や日常の使用に最適で、誕生日、クリスマス、感謝祭の日にも非常に人気があり、10代、子供、学生、男の子、女の子へぴったりー、あなたとご家族の美しいクリスマスの瞬間を記録します。パッケージ内容: デジタルカメラ×1、充電式リチウムイオンバッテリー×2、32G TFカード（Micro SDカード）×1、USBケーブル×1、HDMIケーブル×1、アダプタ×1、ユーザーマニュアル×1、カメラバッグ×1、ストラップ×1。ご注文日から12ヶ月の間、ご使用いただいている製品に不具合と思われる事象が生じた場合、お気軽にお問い合わせください。
"
SONY(ソニー) デジタルカメラ Cyber-shot WX350 光学20倍 ブラック DSC-WX350-B,SONY(ソニー),"42,000",4.0,"1,340",4.19,"
コンパクトなボディに、光学20倍ズームを搭載。広角25mmから望遠500mmまでの幅広い撮影領域を実現
ズームも夜景もブレずにキレイな「プレミアムおまかせオート」
Wi-Fi(R)/NFC対応でスマートフォンにらくらく写真を転送
「高速オートフォーカス」で撮りたい瞬間を逃さずキャッチ。さらに、被写体が動いても、ピントを合わせ続ける
なめらかな映像を美しく撮影できる、フルハイビジョン動画撮影
"
Oiadek デジタルカメラ 4K 4800万画素 デジカメ 32GBマイクロSDカード付き バッテリー充電器付き オートフォーカス機能 180度回転可能ディスプレイ 16倍ズーム 手振れ補正 ウェブカメラ 自撮り便利 3インチ大画面 美顔フィルター 52mmUVフィルター付属 バッテリー2枚 コンパクト,Oiadek,"10,980",4.3,257,1.83,"
【4K録画/4800万画素＆800万CMOSセンサー＆52mmUVレンズ】動画解像度は4K UHDと呼ばれる3840×2160で、静止画も4800万画素と、かつてない鮮明さを実現しました。800万画素のCMOSイメージセンサーを搭載しており、手頃な価格で鮮やかな映像を撮影できます。当社のデジタルカメラには、夏場に遠くのものを撮影する際の曇りを軽減するために、紫外線をカットするUVレンズが搭載されています。本体に搭載されているレンズのスペックはF値「F/3.2」、焦点距離「7.36mm」です。本体重量はわずか258gと非常に軽量で、女性や学生でも長時間使用できる、コストパフォーマンスの高いデジタルカメラです。家族写真、運動会、忘年会、卒業式、旅行、イベントなど、さまざまな場面でお使いいただけます。ご注意：撮る画像やビデオの画質を高めるため、オートフォーカスや手ブレ補正などの機能が正しく使用して、最大の4Kと4800万画素に設定してください。録画するときは、10CM以上離れてください。
【16倍デジタルズーム＆&AFオートフォーカス＆手ぶれ補正機能】16倍デジタルズームにより、遠くの被写体を完璧に撮影できるのも特徴の一つです。ズーム機能が付いているので、撮影した映像の中の遠くに写っているものを簡単に確認することができます。ピントを自動的にあわせるオートフォーカス機能が搭載されており、美しく鮮明な写真を簡単に撮影することができます。手ぶれ補正機能が搭載されており、強力なアルゴリズムが被写体を鮮明に認識し、画面の安定性を維持することで、フォーカスのずれやフォーカスエリアの重なりを防ぐことができます。ご注意：写真やビデオを撮り始める前には、設定から手ぶれ補正機能をオンにしてください。また、顔認識、ビューティーフィルター、三連写などの多彩な機能を搭載しており、初心者の方でも撮影を楽しめる4Kカメラです。LEDライトも付属しているので、夜間や暗い部屋での撮影も簡単に行うことができます。
【180度回転可能3.0インチディスプレイ&ウェブカメラ機能&HDMI出力】3.0インチIPS液晶モニターを採用しており、大画面で被写体をはっきり確認できます。180度回転可能ディスプレイで自撮りには便利です。さらに、付属のUSBケーブルでパソコンに接続すれば、高画質ビデオ通話や生放送を行うウェブカメラとしてもお使いいただけます。本製品には、顔認識技術を利用したオートフォーカス機能やビデオ通話の品質を向上させる手動手振れ補正機能が搭載されています。これらの機能を活用することで、Facebook、YouTube、Instagramなどのプラットフォームを介した高画質なビデオ通話を簡単に楽しむことができます。テレビで動画を再生したい場合は、HDMIケーブルでテレビに接続できます。本製品は精密な電子製品で外部の衝撃を受けたり落としたりなどがある場合は、ディスプレイや部品などが割れてしまって商品が不良になる可能性もございます。
【2つの予備バッテリー＆32GBMicroSDカード＆バッテリー充電器付き】こちらのデジタルカメラには大容量バッテリーが2つ付属しています。外出先でもバッテリーの残量を気にする必要がなく、長時間撮影が可能です。バッテリー充電器もついていますので、使用が便利になります。さまざまな充電方法があり、屋外での充電も可能です。運動会、発表会、セミナー、コンサートで遠くの被写体を撮影する時など、長時間の撮影に最適です。また、本製品には32GBMicroSDカードも付属しておりますので、到着次第にすぐに使えます。本製品は最大128GBのMicroSDカードに対応していますことをご注意ください。プロ仕様のカメラケースとハンドストラップも付属しているので、屋外での撮影にも最適です。ご注意：もし市販の別のマイクロSDカードを使用したい場合は、SDカードではなく128GBまでのマイクロSDカードをお選びください。でないと、差し入れられない可能性もございます。SDカードの取り付け方法：SDカードの正面（金属端子がある）はレンズの方向に向いて差し入れてください。
【セット内容】1×デジタルカメラ、1×UVレンズ、1×32GBMicroSDカード、1×USBケーブル、1×HDMI出力ケーブル、1×日本語取扱説明書、1×充電器アダプター、1×バッテリー充電器、2×バッテリー、1×カメラケース、1×レンズキャップ、1×ストラップ。また、ご購入日より1年間、万が一商品には不良がある場合や使用上には何かご不明点がございましたら、いつでもお気軽にこちらの出品者にご連絡ください。ご注意：①本製品はボタンの操作音が設定からオン/オフに設定できます。操作音がオフにする場合は、モードボタンを三回押して、設定画面に入り操作音をオフにしてください。②本製品はWindowsしか使用できません。Macを使用できるようになるため、付属品としてType Cアダプターを付いています。Type Cアダプター使用してMacが対応できます。
"
Canon コンパクトデジタルカメラ PowerShot SX740 HS ブラック 光学40倍ズーム/4K動画/Wi-Fi対応 PSSX740HSBK,キヤノン,"87,600",,554,4.39,"
広角24mm-960mmの光学40倍ズーム搭載の高倍率ズームモデル
約2,110万画素と先進の映像エンジンDIGIC8搭載で高画質
最高約10.0コマ/秒の高速連射でシャッターチャンスを逃さない
大きさ110.1×63.8×39.9mmで約299gのコンパクトボディー
4K動画対応で幅広い画角を活かした高精細で美しい動画表現を
3.0型チルト液晶で自分撮りローアングルの撮影の自由度を拡大
Wi-Fi&Bluetooth対応で撮影しながら画像をスマホに自動送信
"
